created,number,category,description,closure_notes
1/4/24 12:07,INC6964003,Hardware Issues,Keyboard keys not working,Escalated to higher tier
2/19/24 23:44,INC4552388,Email Problems,Email attachment too large,User guided through steps
3/9/24 17:14,INC7103043,Hardware Issues,Printer not printing,User guided through steps
1/31/24 20:38,INC6110443,Login Issues,Unable to login to system,User guided through steps
1/11/24 15:16,INC3774160,Network Problems,No internet connection,Resolved after troubleshooting
1/11/24 9:26,INC8013413,Hardware Issues,Keyboard keys not working,Hardware replaced
2/14/24 18:40,INC6880605,Hardware Issues,Computer not turning on,Hardware replaced
3/11/24 1:29,INC3557150,Application Issues,Error message displayed in application,Resolved after troubleshooting
2/19/24 17:51,INC6403252,VPN Issues,Slow VPN connection speeds,Hardware replaced
2/17/24 15:44,INC1585597,Login Issues,Password reset required,Escalated to higher tier
1/15/24 12:38,INC5586647,Email Problems,Not receiving email,Escalated to higher tier
2/14/24 12:32,INC5984545,VPN Issues,VPN not connecting,Resolved after troubleshooting
1/3/24 14:38,INC4902364,VPN Issues,VPN connection dropping frequently,Resolved after troubleshooting
1/19/24 13:06,INC7246221,VPN Issues,Slow VPN connection speeds,Hardware replaced
1/16/24 1:50,INC7090890,Login Issues,Account locked out,Hardware replaced
3/1/24 0:37,INC8483260,VPN Issues,Slow VPN connection speeds,User guided through steps
1/9/24 14:36,INC2268158,Application Issues,Application running very slowly,Hardware replaced
1/17/24 3:20,INC5000555,Hardware Issues,Computer not turning on,Hardware replaced
2/10/24 6:22,INC4587739,VPN Issues,Unable to access certain sites over VPN,Resolved after troubleshooting
1/15/24 22:07,INC2431671,VPN Issues,VPN not connecting,Hardware replaced
1/6/24 11:57,INC6663512,Email Problems,Not receiving email,Escalated to higher tier
1/24/24 18:34,INC5642935,Network Problems,Network drive not accessible,Escalated to higher tier
1/17/24 22:59,INC3620792,VPN Issues,Slow VPN connection speeds,Hardware replaced
3/16/24 7:52,INC9244937,VPN Issues,Slow VPN connection speeds,Resolved after troubleshooting
1/7/24 10:05,INC4748915,Login Issues,Unable to login to system,User guided through steps
1/12/24 2:14,INC5323353,Email Problems,Email attachment too large,Escalated to higher tier
3/9/24 5:06,INC6995953,Network Problems,Network drive not accessible,Hardware replaced
1/22/24 12:32,INC3114271,Application Issues,Application crashing on start,User guided through steps
3/16/24 20:05,INC2478428,Application Issues,Application crashing on start,User guided through steps
1/29/24 5:15,INC2718905,Login Issues,Two-factor authentication not working,Resolved after troubleshooting
1/7/24 6:55,INC6740921,Network Problems,No internet connection,Escalated to higher tier
2/27/24 3:27,INC8347424,Login Issues,Account locked out,Hardware replaced
2/29/24 20:35,INC1733666,Network Problems,WiFi keeps disconnecting,Hardware replaced
2/26/24 5:51,INC4371138,Login Issues,Password reset required,User guided through steps
2/14/24 23:16,INC2130336,VPN Issues,VPN connection dropping frequently,Escalated to higher tier
1/13/24 18:03,INC4537801,Hardware Issues,Printer not printing,Hardware replaced
3/3/24 22:10,INC9665958,Login Issues,Unable to login to system,Hardware replaced
2/7/24 3:55,INC9022907,VPN Issues,VPN connection dropping frequently,Hardware replaced
2/17/24 16:48,INC6270497,Email Problems,Email attachment too large,Escalated to higher tier
1/25/24 10:42,INC7321610,Hardware Issues,Keyboard keys not working,User guided through steps
2/28/24 17:14,INC1434177,Application Issues,Error message displayed in application,Resolved after troubleshooting
1/20/24 8:04,INC9093417,Hardware Issues,Keyboard keys not working,Resolved after troubleshooting
3/13/24 15:33,INC9142655,Email Problems,Cannot send email,Resolved after troubleshooting
2/21/24 18:02,INC7179702,Login Issues,Account locked out,Escalated to higher tier
1/11/24 6:00,INC9507909,VPN Issues,VPN not connecting,Hardware replaced
3/8/24 11:13,INC9812489,Application Issues,Application running very slowly,Resolved after troubleshooting
3/6/24 5:46,INC7847373,Network Problems,WiFi keeps disconnecting,User guided through steps
3/4/24 18:47,INC6838989,VPN Issues,VPN connection dropping frequently,Escalated to higher tier
3/1/24 20:13,INC6861707,Login Issues,Password reset required,User guided through steps
2/1/24 20:58,INC2226916,Application Issues,Application crashing on start,Escalated to higher tier
1/29/24 2:42,INC8704376,Hardware Issues,Keyboard keys not working,Escalated to higher tier
3/11/24 15:11,INC6111844,Application Issues,Feature not working as expected,User guided through steps
1/31/24 13:49,INC1186548,Login Issues,Two-factor authentication not working,Escalated to higher tier
2/29/24 16:21,INC7622730,Network Problems,WiFi keeps disconnecting,User guided through steps
3/10/24 7:14,INC5357560,Network Problems,Network drive not accessible,Resolved after troubleshooting
2/23/24 9:33,INC2916105,VPN Issues,Unable to access certain sites over VPN,Escalated to higher tier
1/18/24 5:17,INC4185074,Application Issues,Application running very slowly,Resolved after troubleshooting
2/3/24 20:45,INC4759951,Email Problems,Spam filter blocking legitimate emails,User guided through steps
1/30/24 2:39,INC5616538,VPN Issues,VPN connection dropping frequently,User guided through steps
2/17/24 18:36,INC9752915,Application Issues,Feature not working as expected,Resolved after troubleshooting
1/18/24 10:18,INC4071056,Hardware Issues,Computer not turning on,Escalated to higher tier
1/28/24 19:49,INC5489894,Hardware Issues,Keyboard keys not working,Escalated to higher tier
1/2/24 6:00,INC4857650,VPN Issues,Unable to access certain sites over VPN,Resolved after troubleshooting
1/13/24 7:05,INC1890276,VPN Issues,Unable to access certain sites over VPN,Escalated to higher tier
1/12/24 15:09,INC4393102,Network Problems,Slow internet speeds,Hardware replaced
2/14/24 4:27,INC4673174,Login Issues,Unable to login to system,Hardware replaced
1/26/24 14:03,INC5008622,Email Problems,Email attachment too large,Hardware replaced
1/4/24 15:18,INC5273021,Login Issues,Password reset required,Hardware replaced
2/4/24 3:51,INC1622480,Login Issues,Unable to login to system,Escalated to higher tier
1/19/24 22:58,INC3409179,Email Problems,Not receiving email,Resolved after troubleshooting
2/2/24 10:31,INC8108862,Email Problems,Email attachment too large,Hardware replaced
1/1/24 10:49,INC2885353,Login Issues,Password reset required,Resolved after troubleshooting
1/26/24 5:47,INC3908766,Email Problems,Spam filter blocking legitimate emails,User guided through steps
2/25/24 16:13,INC3862305,VPN Issues,VPN not connecting,Hardware replaced
3/12/24 19:56,INC4833755,Login Issues,Unable to login to system,Hardware replaced
2/26/24 13:12,INC3387855,Network Problems,No internet connection,User guided through steps
1/21/24 3:48,INC2865127,Network Problems,WiFi keeps disconnecting,User guided through steps
1/22/24 8:36,INC1512780,Login Issues,Unable to login to system,Escalated to higher tier
3/2/24 7:33,INC1892010,Application Issues,Application crashing on start,Hardware replaced
1/7/24 4:15,INC8320847,Login Issues,Two-factor authentication not working,Escalated to higher tier
2/18/24 22:34,INC4615222,Network Problems,Network drive not accessible,Escalated to higher tier
3/4/24 1:34,INC3730572,Network Problems,Slow internet speeds,Resolved after troubleshooting
1/21/24 2:39,INC2222889,Application Issues,Application crashing on start,User guided through steps
3/15/24 13:06,INC7896565,Login Issues,Account locked out,Hardware replaced
1/4/24 19:17,INC8975387,Login Issues,Account locked out,Resolved after troubleshooting
2/14/24 21:47,INC2816843,Application Issues,Error message displayed in application,Hardware replaced
2/12/24 9:29,INC7588093,Login Issues,Password reset required,User guided through steps
2/11/24 10:53,INC2741559,Email Problems,Spam filter blocking legitimate emails,User guided through steps
2/10/24 18:10,INC1904266,Hardware Issues,Computer not turning on,User guided through steps
2/23/24 23:29,INC6263212,Email Problems,Cannot send email,Escalated to higher tier
1/20/24 13:40,INC8504392,Network Problems,Slow internet speeds,Resolved after troubleshooting
2/29/24 12:31,INC2141783,Login Issues,Account locked out,Escalated to higher tier
2/8/24 23:06,INC4346070,Application Issues,Application running very slowly,Escalated to higher tier
3/2/24 9:49,INC2951938,Email Problems,Cannot send email,Escalated to higher tier
3/8/24 6:42,INC8253975,Email Problems,Email attachment too large,Hardware replaced
2/16/24 3:39,INC8272040,Network Problems,Slow internet speeds,Resolved after troubleshooting
1/28/24 20:42,INC5559224,VPN Issues,Unable to access certain sites over VPN,Escalated to higher tier
2/18/24 9:49,INC5156588,Hardware Issues,Computer not turning on,User guided through steps
2/21/24 18:20,INC2673081,VPN Issues,VPN not connecting,Resolved after troubleshooting
2/3/24 2:10,INC1574062,VPN Issues,Slow VPN connection speeds,User guided through steps
1/21/24 2:55,INC7442799,Network Problems,Network drive not accessible,Escalated to higher tier
2/2/24 8:29,INC3462829,Email Problems,Cannot send email,Resolved after troubleshooting
2/19/24 17:31,INC4292832,Login Issues,Unable to login to system,Hardware replaced
1/3/24 11:48,INC2409797,VPN Issues,Unable to access certain sites over VPN,User guided through steps
3/13/24 8:38,INC6797486,Application Issues,Application running very slowly,Escalated to higher tier
2/17/24 3:13,INC9341691,Email Problems,Cannot send email,Escalated to higher tier
1/8/24 10:27,INC3170137,Login Issues,Account locked out,User guided through steps
3/9/24 1:05,INC5141595,Application Issues,Error message displayed in application,Resolved after troubleshooting
1/27/24 7:28,INC2277158,Application Issues,Application crashing on start,Resolved after troubleshooting
2/5/24 10:30,INC9046089,Login Issues,Unable to login to system,Hardware replaced
1/2/24 2:47,INC5447177,VPN Issues,VPN connection dropping frequently,Escalated to higher tier
2/19/24 21:10,INC6012975,Network Problems,No internet connection,User guided through steps
1/23/24 22:00,INC2732298,Network Problems,No internet connection,User guided through steps
3/7/24 3:00,INC5744197,Application Issues,Application running very slowly,Escalated to higher tier
2/1/24 5:27,INC3081492,VPN Issues,VPN not connecting,Hardware replaced
1/16/24 17:10,INC6559139,Email Problems,Cannot send email,Escalated to higher tier
1/13/24 17:53,INC3342262,Hardware Issues,Screen flickering,Hardware replaced
1/13/24 3:30,INC9531292,Application Issues,Feature not working as expected,Escalated to higher tier
1/24/24 17:52,INC1000858,VPN Issues,Slow VPN connection speeds,Resolved after troubleshooting
2/13/24 18:54,INC4817860,Network Problems,Slow internet speeds,Resolved after troubleshooting
2/17/24 1:40,INC2255732,Email Problems,Spam filter blocking legitimate emails,User guided through steps
1/4/24 0:39,INC7872285,Login Issues,Unable to login to system,Resolved after troubleshooting
2/8/24 14:13,INC5683810,Network Problems,WiFi keeps disconnecting,Resolved after troubleshooting
2/14/24 4:53,INC9719087,Hardware Issues,Printer not printing,Resolved after troubleshooting
2/9/24 6:15,INC4515426,Login Issues,Unable to login to system,Hardware replaced
2/5/24 20:47,INC2774972,Login Issues,Unable to login to system,Hardware replaced
1/7/24 13:02,INC7985672,Hardware Issues,Printer not printing,User guided through steps
3/10/24 5:01,INC7263407,Email Problems,Email attachment too large,Resolved after troubleshooting
1/19/24 20:42,INC6479624,Hardware Issues,Keyboard keys not working,Escalated to higher tier
2/25/24 8:35,INC3445241,Login Issues,Account locked out,User guided through steps
1/29/24 3:50,INC4940604,Login Issues,Two-factor authentication not working,Escalated to higher tier
2/20/24 9:15,INC2514668,VPN Issues,Slow VPN connection speeds,Resolved after troubleshooting
1/1/24 7:36,INC3193345,VPN Issues,Slow VPN connection speeds,User guided through steps
3/10/24 7:40,INC8351832,Hardware Issues,Screen flickering,Hardware replaced
2/22/24 22:28,INC6953128,Email Problems,Email attachment too large,Resolved after troubleshooting
2/22/24 0:48,INC2182547,Application Issues,Application crashing on start,Hardware replaced
1/12/24 23:08,INC2622790,Network Problems,Slow internet speeds,User guided through steps
3/9/24 6:45,INC6912877,Hardware Issues,Screen flickering,Resolved after troubleshooting
2/21/24 15:48,INC2120407,Application Issues,Application crashing on start,Resolved after troubleshooting
3/8/24 15:46,INC6286938,VPN Issues,Slow VPN connection speeds,Resolved after troubleshooting
2/22/24 11:03,INC5693855,Email Problems,Cannot send email,Hardware replaced
1/16/24 17:11,INC1157272,Hardware Issues,Screen flickering,User guided through steps
1/21/24 1:40,INC5620697,Email Problems,Email attachment too large,Escalated to higher tier
2/4/24 8:11,INC7127158,Email Problems,Cannot send email,Resolved after troubleshooting
3/12/24 6:50,INC9171847,Email Problems,Not receiving email,Resolved after troubleshooting
2/8/24 11:23,INC3012911,Email Problems,Spam filter blocking legitimate emails,User guided through steps
2/11/24 23:39,INC5333753,Email Problems,Spam filter blocking legitimate emails,User guided through steps
2/3/24 7:33,INC7636474,Network Problems,Network drive not accessible,Resolved after troubleshooting
3/4/24 12:18,INC7437283,Login Issues,Account locked out,Hardware replaced
1/16/24 15:41,INC6905732,Email Problems,Cannot send email,Resolved after troubleshooting
2/21/24 2:52,INC3894888,Network Problems,Slow internet speeds,Hardware replaced
1/11/24 22:50,INC1849478,VPN Issues,Slow VPN connection speeds,User guided through steps
2/27/24 6:08,INC8895213,Network Problems,WiFi keeps disconnecting,Escalated to higher tier
1/20/24 5:01,INC2298162,Application Issues,Error message displayed in application,Resolved after troubleshooting
1/22/24 6:58,INC4092991,Login Issues,Two-factor authentication not working,User guided through steps
1/10/24 22:08,INC4455966,Hardware Issues,Printer not printing,Resolved after troubleshooting
2/14/24 14:10,INC1943959,Hardware Issues,Screen flickering,Hardware replaced
2/10/24 20:36,INC4715785,Network Problems,Network drive not accessible,Resolved after troubleshooting
3/17/24 7:27,INC2876989,VPN Issues,Slow VPN connection speeds,Escalated to higher tier
1/18/24 7:48,INC7256605,VPN Issues,VPN not connecting,Escalated to higher tier
1/4/24 12:26,INC6183369,Application Issues,Feature not working as expected,User guided through steps
1/29/24 10:48,INC8522154,Network Problems,Slow internet speeds,Hardware replaced
2/11/24 18:14,INC6289103,Application Issues,Application running very slowly,Resolved after troubleshooting
1/27/24 15:54,INC7847020,Hardware Issues,Screen flickering,Hardware replaced
2/28/24 1:55,INC1836710,VPN Issues,Slow VPN connection speeds,Resolved after troubleshooting
3/16/24 22:42,INC4352107,Hardware Issues,Keyboard keys not working,Resolved after troubleshooting
2/19/24 6:14,INC4449906,Hardware Issues,Keyboard keys not working,Hardware replaced
1/6/24 12:55,INC9651244,Hardware Issues,Printer not printing,Escalated to higher tier
1/23/24 7:12,INC1483019,Hardware Issues,Screen flickering,User guided through steps
1/30/24 18:29,INC4373149,VPN Issues,Slow VPN connection speeds,Escalated to higher tier
2/18/24 6:08,INC2947241,Network Problems,WiFi keeps disconnecting,Hardware replaced
2/8/24 3:37,INC3538724,Email Problems,Spam filter blocking legitimate emails,Hardware replaced
2/8/24 17:23,INC7554061,Application Issues,Error message displayed in application,Hardware replaced
3/16/24 17:30,INC6293981,Email Problems,Cannot send email,Escalated to higher tier
1/28/24 6:20,INC6097088,Hardware Issues,Screen flickering,Resolved after troubleshooting
2/13/24 2:22,INC6588991,Email Problems,Spam filter blocking legitimate emails,Escalated to higher tier
1/29/24 1:42,INC7626103,Application Issues,Feature not working as expected,Escalated to higher tier
2/20/24 13:42,INC2950997,Hardware Issues,Printer not printing,Hardware replaced
2/7/24 6:28,INC4261165,Network Problems,Slow internet speeds,Escalated to higher tier
1/13/24 7:36,INC4999718,Hardware Issues,Keyboard keys not working,Resolved after troubleshooting
1/28/24 0:58,INC8866472,Login Issues,Password reset required,Hardware replaced
2/6/24 8:21,INC1131192,Network Problems,Slow internet speeds,Hardware replaced
3/3/24 1:35,INC4704834,Email Problems,Spam filter blocking legitimate emails,User guided through steps
1/15/24 7:29,INC8831736,VPN Issues,VPN connection dropping frequently,Hardware replaced
3/7/24 15:13,INC6138296,Login Issues,Two-factor authentication not working,Hardware replaced
3/4/24 0:58,INC2017449,Network Problems,Network drive not accessible,Hardware replaced
1/29/24 18:22,INC7721942,Network Problems,Network drive not accessible,Hardware replaced
1/28/24 13:12,INC6292951,Application Issues,Feature not working as expected,Hardware replaced
3/6/24 18:42,INC6074810,VPN Issues,VPN connection dropping frequently,Hardware replaced
1/8/24 14:00,INC9244478,Email Problems,Email attachment too large,Resolved after troubleshooting
2/13/24 21:45,INC2547736,Hardware Issues,Keyboard keys not working,Hardware replaced
1/26/24 7:32,INC3153788,Application Issues,Feature not working as expected,User guided through steps
2/5/24 15:25,INC9197325,Application Issues,Feature not working as expected,Resolved after troubleshooting
1/31/24 16:12,INC7024969,Network Problems,Slow internet speeds,Resolved after troubleshooting
3/15/24 19:31,INC5182316,Email Problems,Cannot send email,Resolved after troubleshooting
2/21/24 15:22,INC7801989,Email Problems,Not receiving email,Resolved after troubleshooting
2/15/24 8:23,INC9972000,Application Issues,Application crashing on start,Resolved after troubleshooting
2/10/24 21:49,INC2842485,VPN Issues,Unable to access certain sites over VPN,Hardware replaced
3/2/24 12:39,INC7068012,Network Problems,No internet connection,Escalated to higher tier
1/6/24 9:49,INC8181436,Application Issues,Application running very slowly,Escalated to higher tier
2/20/24 5:45,INC6845903,Email Problems,Email attachment too large,Escalated to higher tier
2/16/24 12:32,INC4153922,Hardware Issues,Printer not printing,Hardware replaced
2/6/24 14:38,INC9967325,Application Issues,Error message displayed in application,Resolved after troubleshooting
1/5/24 11:00,INC4643072,Network Problems,Slow internet speeds,Hardware replaced
3/7/24 12:33,INC6857581,Hardware Issues,Keyboard keys not working,Escalated to higher tier
1/9/24 16:35,INC9150035,Application Issues,Error message displayed in application,Resolved after troubleshooting
1/26/24 9:21,INC5735694,Hardware Issues,Printer not printing,Resolved after troubleshooting
2/26/24 18:47,INC6503088,Login Issues,Account locked out,Escalated to higher tier
3/10/24 2:48,INC4387437,Login Issues,Two-factor authentication not working,Escalated to higher tier
2/17/24 1:27,INC1224013,Network Problems,Network drive not accessible,Resolved after troubleshooting
3/8/24 12:03,INC6106526,Network Problems,WiFi keeps disconnecting,User guided through steps
2/29/24 14:47,INC7819491,Login Issues,Account locked out,Hardware replaced
3/1/24 13:53,INC7324250,Application Issues,Error message displayed in application,Escalated to higher tier
1/31/24 9:23,INC2156037,Application Issues,Application crashing on start,Hardware replaced
2/20/24 8:59,INC4020827,Network Problems,WiFi keeps disconnecting,User guided through steps
2/29/24 4:04,INC4346858,Application Issues,Error message displayed in application,User guided through steps
2/9/24 12:22,INC3509061,Email Problems,Not receiving email,User guided through steps
2/5/24 18:23,INC9034951,Hardware Issues,Computer not turning on,User guided through steps
1/5/24 21:09,INC6910493,Network Problems,Slow internet speeds,User guided through steps
1/15/24 7:36,INC9737099,Network Problems,Network drive not accessible,Resolved after troubleshooting
3/8/24 23:47,INC6256760,Login Issues,Password reset required,Resolved after troubleshooting
2/3/24 1:11,INC7176836,Email Problems,Spam filter blocking legitimate emails,Escalated to higher tier
2/27/24 17:38,INC4425840,VPN Issues,VPN not connecting,User guided through steps
2/10/24 12:02,INC1100617,Login Issues,Two-factor authentication not working,Escalated to higher tier
3/14/24 2:04,INC2887933,Email Problems,Email attachment too large,User guided through steps
1/12/24 5:44,INC5766853,Hardware Issues,Screen flickering,Escalated to higher tier
3/17/24 20:58,INC6304224,Network Problems,WiFi keeps disconnecting,Resolved after troubleshooting
1/7/24 0:42,INC2166679,Application Issues,Application crashing on start,Hardware replaced
1/19/24 18:55,INC8056048,Hardware Issues,Printer not printing,Hardware replaced
2/7/24 8:12,INC9842958,Application Issues,Application crashing on start,Resolved after troubleshooting
